"league","date","patch","game","actualKills","prePrediction","preAbsError","preLine245Side","preLine245Hit","postPrediction","postAbsError","postLine245Side","postLine245Hit","teamAPicks","teamBPicks"
"LCK","2026-05-24","16.10","T1 vs HANJIN BRION","29","29,81","0,81","OVER","True","29,21","0,21","OVER","True","Yorick|Xin Zhao|Anivia|Ashe|Seraphine","Jayce|Jarvan IV|Aurora|Lucian|Milio"
"LCK","2026-05-24","16.10","T1 vs HANJIN BRION","18","29,81","11,81","OVER","False","30,00","12,00","OVER","False","Sion|Naafiri|Twisted Fate|Caitlyn|Lux","Rumble|Lee Sin|Ryze|Jhin|Pyke"
"LCK","2026-05-24","16.10","Gen.G vs DN SOOPers","20","28,84","8,84","OVER","False","28,80","8,80","OVER","False","Vayne|Maokai|Annie|Lucian|Milio","Sion|Wukong|Akali|Corki|Nami"
"LCK","2026-05-24","16.10","Gen.G vs DN SOOPers","25","28,84","3,84","OVER","True","28,65","3,65","OVER","True","Ambessa|Skarner|Anivia|Caitlyn|Bard","Rumble|Lee Sin|Ryze|Ashe|Seraphine"
"LCK","2026-05-23","16.10","Hanwha Life Esports vs Nongshim RedForce","36","31,31","4,69","OVER","True","31,10","4,90","OVER","True","Gnar|Lee Sin|Ryze|Corki|Nami","Renekton|Jarvan IV|Twisted Fate|Yunara|Lulu"
"LCK","2026-05-23","16.10","Nongshim RedForce vs Hanwha Life Esports","54","31,31","22,69","OVER","True","31,15","22,85","OVER","True","Ambessa|Pantheon|Ahri|Ashe|Nautilus","Sion|Vi|Aurora|Ziggs|Pyke"
"LCK","2026-05-23","16.10","Hanwha Life Esports vs Nongshim RedForce","43","31,31","11,69","OVER","True","31,19","11,81","OVER","True","Yorick|Xin Zhao|Akali|Jhin|Bard","Rumble|Wukong|Annie|Lucian|Milio"
"LCK","2026-05-23","16.10","Dplus KIA vs BNK FearX","24","27,22","3,22","OVER","False","27,40","3,40","OVER","False","Jayce|Skarner|Viktor|Jhin|Poppy","Yorick|Pantheon|Taliyah|Miss Fortune|Alistar"
"LCK","2026-05-23","16.10","BNK FearX vs Dplus KIA","37","27,22","9,78","OVER","True","26,85","10,15","OVER","True","Ambessa|Lee Sin|Ahri|Ashe|Lulu","Rumble|Xin Zhao|LeBlanc|Ezreal|Seraphine"
"LCK","2026-05-23","16.10","Dplus KIA vs BNK FearX","16","27,22","11,22","OVER","False","27,10","11,10","OVER","False","Gnar|Jarvan IV|Ryze|Caitlyn|Karma","Sion|Naafiri|Orianna|Lucian|Milio"
"LCK","2026-05-22","16.10","KT Rolster vs Gen.G","28","29,83","1,83","OVER","True","29,79","1,79","OVER","True","Jayce|Trundle|Cassiopeia|Corki|Nautilus","Vayne|Nocturne|Galio|Ashe|Seraphine"
"LCK","2026-05-22","16.10","KT Rolster vs Gen.G","17","29,83","12,83","OVER","False","30,01","13,01","OVER","False","Ambessa|Pantheon|Anivia|Ezreal|Nami","Sion|Naafiri|Ryze|Jhin|Karma"
"LCK","2026-05-22","16.10","Kiwoom DRX vs DN SOOPers","28","29,33","1,33","OVER","True","29,59","1,59","OVER","True","Gnar|Pantheon|Viktor|Ezreal|Karma","Ambessa|Lee Sin|Ahri|Sivir|Nautilus"
"LCK","2026-05-22","16.10","DN SOOPers vs Kiwoom DRX","22","29,33","7,33","OVER","False","29,39","7,39","OVER","False","Rumble|Skarner|Yone|Lucian|Milio","KSante|Xin Zhao|Cassiopeia|Miss Fortune|Bard"
"LCK","2026-05-21","16.10","HANJIN BRION vs Dplus KIA","20","27,03","7,03","OVER","False","27,37","7,37","OVER","False","Renekton|Naafiri|Annie|Jhin|Neeko","Illaoi|Wukong|Taliyah|Yunara|Karma"
"LPL","2026-05-24","16.10","Weibo Gaming vs LGD Gaming","21","26,47","5,47","OVER","False","26,44","5,44","OVER","False","Ambessa|Sylas|Malphite|Kalista|Renata Glasc","Zaahen|Maokai|Vayne|Draven|Thresh"
"LPL","2026-05-24","16.10","Weibo Gaming vs LGD Gaming","22","26,47","4,47","OVER","False","26,42","4,42","OVER","False","Jax|RekSai|Twisted Fate|Ziggs|Camille","Poppy|Lee Sin|Anivia|Caitlyn|Elise"
"LPL","2026-05-24","16.10","LGD Gaming vs Weibo Gaming","30","26,46","3,54","OVER","True","26,53","3,47","OVER","True","Yorick|Jayce|Galio|Miss Fortune|Nautilus","KSante|Xin Zhao|Aurora|Ezreal|Bard"
"LPL","2026-05-24","16.10","Weibo Gaming vs LGD Gaming","15","26,47","11,47","OVER","False","26,30","11,30","OVER","False","Sion|Vi|Ahri|Yunara|Lulu","Rumble|Trundle|Ryze|Corki|Nami"
"LPL","2026-05-24","16.10","LGD Gaming vs Weibo Gaming","15","26,46","11,46","OVER","False","26,09","11,09","OVER","False","Gnar|Naafiri|Akali|Ashe|Seraphine","Renekton|Jarvan IV|Annie|Lucian|Milio"
"LPL","2026-05-24","16.10","Ninjas in Pyjamas vs EDward Gaming","27","26,31","0,69","OVER","True","26,33","0,67","OVER","True","Ambessa|Shyvana|Ahri|Aphelios|Thresh","KSante|Maokai|Mel|Zeri|Yuumi"
"LPL","2026-05-24","16.10","EDward Gaming vs Ninjas in Pyjamas","32","26,31","5,69","OVER","True","26,46","5,54","OVER","True","Vayne|Pantheon|Rumble|Ziggs|Leona","Ornn|Naafiri|Taliyah|Caitlyn|Lux"
"LPL","2026-05-24","16.10","Ninjas in Pyjamas vs EDward Gaming","32","26,31","5,69","OVER","True","26,53","5,47","OVER","True","Zaahen|Wukong|Aurora|Jhin|Nautilus","Renekton|Trundle|Viktor|Varus|Karma"
"LPL","2026-05-24","16.10","EDward Gaming vs Ninjas in Pyjamas","37","26,31","10,69","OVER","True","26,34","10,66","OVER","True","Tristana|Jarvan IV|Orianna|Ezreal|Bard","Gnar|Vi|Ryze|Corki|Nami"
"LPL","2026-05-24","16.10","EDward Gaming vs Ninjas in Pyjamas","14","26,31","12,31","OVER","False","26,06","12,06","OVER","False","Sion|Lee Sin|Annie|Ashe|Seraphine","Jayce|Skarner|Cassiopeia|Lucian|Milio"
"LPL","2026-05-23","16.10","Invictus Gaming vs ThunderTalk Gaming","26","29,36","3,36","OVER","True","29,25","3,25","OVER","True","Varus|Trundle|Taliyah|Yunara|Lulu","Ambessa|Wukong|Annie|Jhin|Seraphine"
"LPL","2026-05-23","16.10","ThunderTalk Gaming vs Invictus Gaming","33","29,36","3,64","OVER","True","29,46","3,54","OVER","True","Jayce|Xin Zhao|Akali|Senna|Nautilus","Sion|Jarvan IV|Cassiopeia|Ashe|Braum"
"LPL","2026-05-23","16.10","ThunderTalk Gaming vs Invictus Gaming","23","29,36","6,36","OVER","False","29,43","6,43","OVER","False","Rumble|Lee Sin|Ryze|Ezreal|Nami","KSante|Naafiri|Orianna|Corki|Neeko"
"LPL","2026-05-23","16.10","LNG Esports vs Team WE","17","27,39","10,39","OVER","False","27,45","10,45","OVER","False","Ambessa|Jayce|Galio|Jinx|Lulu","Aatrox|Poppy|Smolder|Ashe|Seraphine"
"LPL","2026-05-23","16.10","LNG Esports vs Team WE","24","27,39","3,39","OVER","False","27,34","3,34","OVER","False","Yorick|Maokai|Tristana|Miss Fortune|Karma","Ornn|Naafiri|Ahri|Caitlyn|Lux"
"CBLOL","2026-05-25","16.10","Los Grandes vs LOUD","22","27,53","5,53","OVER","False","27,93","5,93","OVER","False","KSante|Jarvan IV|Ryze|Ezreal|Anivia","Rumble|Aatrox|Orianna|Jhin|Neeko"
"CBLOL","2026-05-25","16.10","Los Grandes vs LOUD","28","27,53","0,47","OVER","True","27,03","0,97","OVER","True","Twisted Fate|Trundle|Cassiopeia|Lucian|Milio","Sion|Qiyana|Akali|Caitlyn|Bard"
"CBLOL","2026-05-24","16.10","FURIA vs RED Canids","21","28,62","7,62","OVER","False","28,40","7,40","OVER","False","Ambessa|Trundle|Annie|Xayah|Rakan","Gnar|Naafiri|Akali|Sivir|Alistar"
"CBLOL","2026-05-24","16.10","FURIA vs RED Canids","25","28,62","3,62","OVER","True","28,42","3,42","OVER","True","Sion|Lee Sin|Twisted Fate|Ashe|Lulu","Renekton|Aatrox|Cassiopeia|Senna|Seraphine"
"CBLOL","2026-05-24","16.10","FURIA vs RED Canids","24","28,62","4,62","OVER","False","29,17","5,17","OVER","False","Ornn|Xin Zhao|Galio|Ezreal|Bard","Rumble|Nocturne|Orianna|Varus|Neeko"
"CBLOL","2026-05-23","16.10","Los Grandes vs Vivo Keyd Stars","29","28,28","0,72","OVER","True","28,11","0,89","OVER","True","Sylas|RekSai|Ryze|Caitlyn|Anivia","Gnar|Jarvan IV|Syndra|Jhin|Karma"
