league,date,game,actual,line,postPrediction,edge,overProbability,underProbability,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta,draftConfidence,draftSignal,draftSignalReason,topPickEffects
LCK,2026-04-10,DN SOOPers vs T1,35,29.5,29.11,-0.39,0.4821,0.5179,-0.1322,-0.0678,,EV baixo,over,,0,-0.41,0.55,neutral,confiança baixa,ADC Ezreal -2 | MID Orianna -1.83 | SUP Bard -1.64 | JUNGLE Lee Sin +1.18 | SUP Neeko -0.98
LCK,2026-04-10,T1 vs DN SOOPers,19,29.5,29.47,-0.03,0.4988,0.5012,-0.1022,-0.0978,,EV baixo,under,,0,-0.48,0.537,neutral,confiança baixa,JUNGLE Xin Zhao -2.32 | JUNGLE Pantheon -1.77 | MID Aurora +1.51 | SUP Lulu -1.15 | ADC Lucian -1.08
LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,29,29.5,28.45,-1.05,0.4519,0.5481,-0.1866,-0.0134,,EV baixo,under,,0,-0.84,0.573,neutral,under bloqueado,JUNGLE Xin Zhao -2.3 | ADC Ashe -1.72 | JUNGLE Jarvan IV -1.62 | MID Ryze -1.52 | TOP Jayce -1.42
LCK,2026-04-10,Hanwha Life Esports vs BNK FearX,33,29.5,28.71,-0.79,0.4633,0.5367,-0.1661,-0.0339,,EV baixo,over,,0,-0.39,0.524,neutral,confiança baixa,TOP Kennen -1.58 | ADC Ezreal -1.3 | ADC Jhin -1 | SUP Bard -0.94 | SUP Neeko -0.33
LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,33,29.5,29.31,-0.19,0.4913,0.5087,-0.1157,-0.0843,,EV baixo,over,,0,-0.09,0.296,neutral,confiança baixa,ADC Lucian -1.78 | JUNGLE Vi +1.71 | MID Mel -1.12 | SUP Milio -0.99 | MID Ahri +0.84
LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,35,31.5,30.65,-0.85,0.4594,0.5406,-0.173,-0.027,,EV baixo,over,,0,-0.76,0.65,neutral,under bloqueado,JUNGLE Jarvan IV -1.72 | JUNGLE Vi +1.69 | MID Ryze -1.62 | TOP Jayce -1.53 | ADC Ezreal -1.29
LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,21,32.5,32.03,-0.47,0.4775,0.5225,-0.1405,-0.0595,,EV baixo,under,,0,-0.01,0.587,neutral,under bloqueado,JUNGLE Pantheon -1.95 | SUP Nautilus +1.46 | SUP Alistar +1.27 | ADC Yunara -1.17 | ADC Corki -1.12
LCK,2026-04-11,Dplus KIA vs Gen.G,19,29.5,29.21,-0.29,0.4862,0.5138,-0.1248,-0.0752,,EV baixo,under,,0,-0.51,0.655,neutral,under bloqueado,JUNGLE Pantheon -1.91 | JUNGLE Jarvan IV -1.22 | MID Ryze -1.12 | ADC Ezreal -0.82 | SUP Bard -0.69
LCK,2026-04-11,Gen.G vs Dplus KIA,23,28.5,29.25,0.75,0.5357,0.4643,-0.0357,-0.1643,,EV baixo,under,,0,0.27,0.561,neutral,delta fraco,JUNGLE Xin Zhao -1.71 | SUP Seraphine -1.47 | ADC Kalista +1.37 | SUP Renata Glasc +1.37 | JUNGLE Wukong +0.92
LCK,2026-04-12,BNK FearX vs DN SOOPers,32,29.5,29.67,0.17,0.5084,0.4916,-0.0849,-0.1151,,EV baixo,over,,0,0.18,0.606,neutral,delta fraco,JUNGLE Vi +2.45 | JUNGLE Jarvan IV -0.78 | MID Ryze -0.78 | SUP Neeko +0.72 | ADC Ezreal -0.53
LCK,2026-04-12,BNK FearX vs DN SOOPers,23,30.5,30.25,-0.25,0.4881,0.5119,-0.1215,-0.0785,,EV baixo,under,,0,0.06,0.565,neutral,delta fraco,JUNGLE Lee Sin +1.94 | JUNGLE Xin Zhao -1.75 | SUP Seraphine -1.6 | MID Azir +1.28 | ADC Ashe -1.25
LCK,2026-04-12,KT Rolster vs HANJIN BRION,17,30.5,29.31,-1.19,0.4423,0.5577,-0.2039,0.0039,,EV baixo,under,,0,-0.81,0.689,neutral,under bloqueado,JUNGLE Xin Zhao -1.69 | SUP Seraphine -1.64 | ADC Ashe -1.33 | JUNGLE Jarvan IV -0.52 | MID Mel -0.43
LCK,2026-04-12,KT Rolster vs HANJIN BRION,22,27.5,28.09,0.59,0.5282,0.4718,-0.0492,-0.1508,,EV baixo,under,,0,0.74,0.624,over,edge valido,JUNGLE Vi +2.7 | MID Ahri +1.41 | SUP Neeko +1.34 | ADC Caitlyn +1.02 | JUNGLE Wukong +0.98
LCK,2026-04-15,BNK FearX vs Nongshim RedForce,32,27.5,27.96,0.46,0.5223,0.4777,-0.0598,-0.1402,,EV baixo,over,,0,0.09,0.699,neutral,delta fraco,MID Azir +1.8 | JUNGLE Xin Zhao -1.42 | SUP Neeko +1.26 | JUNGLE Pantheon -0.81 | MID Akali +0.43
LCK,2026-04-15,BNK FearX vs Nongshim RedForce,38,27.5,27.94,0.44,0.5216,0.4784,-0.0611,-0.1389,,EV baixo,over,,0,0.42,0.64,neutral,delta fraco,JUNGLE Lee Sin +1.83 | ADC Kalista +1.19 | SUP Renata Glasc +1.19 | TOP Sion +0.77 | MID Anivia -0.44
LCK,2026-04-15,Dplus KIA vs KT Rolster,19,26.5,26.86,0.36,0.5174,0.4826,-0.0687,-0.1313,,EV baixo,under,,0,0.07,0.655,neutral,delta fraco,SUP Nautilus +1.69 | ADC Kaisa +0.79 | SUP Karma -0.57 | JUNGLE Jarvan IV -0.49 | ADC Ezreal -0.47
LCK,2026-04-15,KT Rolster vs Dplus KIA,48,25.5,25.4,-0.1,0.4951,0.5049,-0.1088,-0.0912,,EV baixo,over,,0,-0.27,0.627,neutral,under bloqueado,JUNGLE Lee Sin +2.2 | SUP Seraphine -1.71 | JUNGLE Xin Zhao -1.47 | ADC Ashe -1.47 | TOP Yorick -0.58
LCK,2026-04-15,KT Rolster vs Dplus KIA,30,28.5,28.09,-0.41,0.4812,0.5188,-0.1338,-0.0662,,EV baixo,over,,0,-0.08,0.405,neutral,confiança baixa,SUP Lulu -1.01 | ADC Yunara -0.97 | MID Ahri +0.52 | JUNGLE Trundle +0.44 | JUNGLE Ambessa +0.18
LCK,2026-04-16,HANJIN BRION vs Gen.G,25,27.5,27.31,-0.19,0.4913,0.5087,-0.1157,-0.0843,,EV baixo,under,,0,-0.18,0.704,neutral,under bloqueado,JUNGLE Xin Zhao -1.53 | JUNGLE Jarvan IV -1.28 | ADC Ezreal -1.27 | MID Azir +0.9 | TOP Sion +0.83
LCK,2026-04-16,Gen.G vs HANJIN BRION,31,26.5,26.61,0.11,0.5052,0.4948,-0.0906,-0.1094,,EV baixo,over,,0,-0.19,0.671,neutral,under bloqueado,JUNGLE Pantheon -1.48 | JUNGLE Nocturne +1.15 | SUP Alistar +1.14 | SUP Lulu -0.81 | ADC Yunara -0.77
LCK,2026-04-16,DN SOOPers vs Hanwha Life Esports,28,27.5,28.02,0.52,0.5248,0.4752,-0.0554,-0.1446,,EV baixo,over,,0,0.3,0.643,neutral,delta fraco,JUNGLE Vi +1.82 | ADC Varus +1.7 | JUNGLE Xin Zhao -1.51 | TOP Anivia +0.72 | SUP Bard -0.65
