league,date,patch,game,actualKills,preExpected,preSignedError,preAbsError,postExpected,postSignedError,postAbsError,postImproved,leagueCorrection,teamAAdjustment,teamBAdjustment,draftAdjustment,teamAPicks,teamBPicks
LCK,2026-05-24,16.10,T1 vs HANJIN BRION,29,29.64,0.64,0.64,29.22,0.22,0.22,true,-0.79,0.85,-0.42,-0.41,Yorick|Xin Zhao|Anivia|Ashe|Seraphine,Jayce|Jarvan IV|Aurora|Lucian|Milio
LCK,2026-05-24,16.10,T1 vs HANJIN BRION,18,29.64,11.64,11.64,29.75,11.75,11.75,false,-0.79,0.85,-0.42,0.11,Sion|Naafiri|Twisted Fate|Caitlyn|Lux,Rumble|Lee Sin|Ryze|Jhin|Pyke
LCK,2026-05-24,16.10,Gen.G vs DN SOOPers,20,28.61,8.61,8.61,28.48,8.48,8.48,true,-0.79,0.51,-1.11,-0.14,Vayne|Maokai|Annie|Lucian|Milio,Sion|Wukong|Akali|Corki|Nami
LCK,2026-05-24,16.10,Gen.G vs DN SOOPers,25,28.61,3.61,3.61,28.46,3.46,3.46,true,-0.79,0.51,-1.11,-0.15,Ambessa|Skarner|Anivia|Caitlyn|Bard,Rumble|Lee Sin|Ryze|Ashe|Seraphine
LCK,2026-05-23,16.10,Hanwha Life Esports vs Nongshim RedForce,36,29.9,-6.1,6.1,29.67,-6.33,6.33,false,-0.79,0.41,0.28,-0.23,Gnar|Lee Sin|Ryze|Corki|Nami,Renekton|Jarvan IV|Twisted Fate|Yunara|Lulu
LCK,2026-05-23,16.10,Nongshim RedForce vs Hanwha Life Esports,54,29.9,-24.1,24.1,29.86,-24.14,24.14,false,-0.79,0.28,0.41,-0.04,Ambessa|Pantheon|Ahri|Ashe|Nautilus,Sion|Vi|Aurora|Ziggs|Pyke
LCK,2026-05-23,16.10,Hanwha Life Esports vs Nongshim RedForce,43,29.9,-13.1,13.1,29.71,-13.29,13.29,false,-0.79,0.41,0.28,-0.2,Yorick|Xin Zhao|Akali|Jhin|Bard,Rumble|Wukong|Annie|Lucian|Milio
LCK,2026-05-23,16.10,Dplus KIA vs BNK FearX,24,28.03,4.03,4.03,27.96,3.96,3.96,true,-0.79,-1.07,-0.1,-0.07,Jayce|Skarner|Viktor|Jhin|Poppy,Yorick|Pantheon|Taliyah|Miss Fortune|Alistar
LCK,2026-05-23,16.10,BNK FearX vs Dplus KIA,37,28.03,-8.97,8.97,27.84,-9.16,9.16,false,-0.79,-0.1,-1.07,-0.19,Ambessa|Lee Sin|Ahri|Ashe|Lulu,Rumble|Xin Zhao|LeBlanc|Ezreal|Seraphine
LCK,2026-05-23,16.10,Dplus KIA vs BNK FearX,16,28.03,12.03,12.03,27.75,11.75,11.75,true,-0.79,-1.07,-0.1,-0.29,Gnar|Jarvan IV|Ryze|Caitlyn|Karma,Sion|Naafiri|Orianna|Lucian|Milio
LCK,2026-05-22,16.10,KT Rolster vs Gen.G,28,29.64,1.64,1.64,29.48,1.48,1.48,true,-0.79,-0.08,0.51,-0.16,Jayce|Trundle|Cassiopeia|Corki|Nautilus,Vayne|Nocturne|Galio|Ashe|Seraphine
LCK,2026-05-22,16.10,KT Rolster vs Gen.G,17,29.64,12.64,12.64,29.49,12.49,12.49,true,-0.79,-0.08,0.51,-0.15,Ambessa|Pantheon|Anivia|Ezreal|Nami,Sion|Naafiri|Ryze|Jhin|Karma
LCK,2026-05-22,16.10,Kiwoom DRX vs DN SOOPers,28,28.51,0.51,0.51,28.46,0.46,0.46,true,-0.79,0.41,-1.11,-0.05,Gnar|Pantheon|Viktor|Ezreal|Karma,Ambessa|Lee Sin|Ahri|Sivir|Nautilus
LCK,2026-05-22,16.10,DN SOOPers vs Kiwoom DRX,22,28.51,6.51,6.51,28.36,6.36,6.36,true,-0.79,-1.11,0.41,-0.15,Rumble|Skarner|Yone|Lucian|Milio,KSante|Xin Zhao|Cassiopeia|Miss Fortune|Bard
