scenarioMove,league,date,game,actual,preLine,marketLine,draftDelta,side,bucket,hitRate,empiricalEv,decision,reason,resultSide,correct,profit
0,LCK,2026-04-10,DN SOOPers vs T1,35,29.5,29.5,-0.23,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-10,T1 vs DN SOOPers,19,29.5,29.5,-0.39,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,29,28.5,28.5,-0.5,under,fraco,0.518,-0.0676,pass,delta draft baixo,over,,0
0,LCK,2026-04-10,Hanwha Life Esports vs BNK FearX,33,28.5,28.5,0.53,over,fraco,0.518,-0.0676,pass,delta draft baixo,over,,0
0,LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,33,29.5,29.5,0.85,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,35,30.5,30.5,0.04,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,21,31.5,31.5,1.3,over,forte,0.648,0.1664,over,edge draft valido,under,false,-1
0,LCK,2026-04-11,Dplus KIA vs Gen.G,19,29.5,29.5,-0.11,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-11,Gen.G vs Dplus KIA,23,28.5,28.5,0.55,over,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
0,LCK,2026-04-12,BNK FearX vs DN SOOPers,32,29.5,29.5,1.66,over,muito forte,0.652,0.1736,over,edge draft valido,over,true,0.8
0,LCK,2026-04-12,BNK FearX vs DN SOOPers,23,29.5,29.5,1.18,over,medio,0.573,0.0314,over,edge draft valido,under,false,-1
0,LCK,2026-04-12,KT Rolster vs HANJIN BRION,17,29.5,29.5,0.02,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-12,KT Rolster vs HANJIN BRION,22,27.5,27.5,1.03,over,medio,0.573,0.0314,over,edge draft valido,under,false,-1
0,LCK,2026-04-15,BNK FearX vs Nongshim RedForce,32,27.5,27.5,0.48,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-15,BNK FearX vs Nongshim RedForce,38,27.5,27.5,0.4,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-15,Dplus KIA vs KT Rolster,19,26.5,26.5,0,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-15,KT Rolster vs Dplus KIA,48,25.5,25.5,-0.26,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-15,KT Rolster vs Dplus KIA,30,28.5,28.5,0.04,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-16,HANJIN BRION vs Gen.G,25,27.5,27.5,-0.2,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-16,Gen.G vs HANJIN BRION,31,26.5,26.5,-0.11,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-16,DN SOOPers vs Hanwha Life Esports,28,27.5,27.5,0.72,over,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-04-16,Hanwha Life Esports vs DN SOOPers,35,27.5,27.5,-0.18,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-17,BNK FearX vs Kiwoom DRX,21,28.5,28.5,0.17,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-17,BNK FearX vs Kiwoom DRX,29,28.5,28.5,-0.54,under,fraco,0.518,-0.0676,pass,delta draft baixo,over,,0
0,LCK,2026-04-17,T1 vs Dplus KIA,19,28.5,28.5,0.01,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-17,Dplus KIA vs T1,19,27.5,27.5,0.03,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-17,T1 vs Dplus KIA,44,26.5,26.5,0.4,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-18,Gen.G vs Hanwha Life Esports,32,29.5,29.5,-0.12,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-18,Hanwha Life Esports vs Gen.G,36,30.5,30.5,0.29,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-18,DN SOOPers vs KT Rolster,13,30.5,30.5,0.21,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-18,KT Rolster vs DN SOOPers,24,28.5,28.5,0.02,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-19,HANJIN BRION vs Nongshim RedForce,34,28.5,28.5,0.02,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-19,Nongshim RedForce vs HANJIN BRION,26,28.5,28.5,-0.14,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-19,HANJIN BRION vs Nongshim RedForce,32,28.5,28.5,0.21,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-19,T1 vs Kiwoom DRX,29,27.5,27.5,-0.48,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-19,T1 vs Kiwoom DRX,28,27.5,27.5,-0.18,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-22,Kiwoom DRX vs KT Rolster,41,27.5,27.5,0.8,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCK,2026-04-22,Kiwoom DRX vs KT Rolster,26,28.5,28.5,0.34,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-22,Hanwha Life Esports vs Nongshim RedForce,21,29.5,29.5,0.2,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-22,Hanwha Life Esports vs Nongshim RedForce,37,28.5,28.5,0.23,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-22,Nongshim RedForce vs Hanwha Life Esports,35,29.5,29.5,0.99,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCK,2026-04-23,HANJIN BRION vs Dplus KIA,23,29.5,29.5,1.21,over,medio,0.573,0.0314,over,edge draft valido,under,false,-1
0,LCK,2026-04-23,Dplus KIA vs HANJIN BRION,27,28.5,28.5,0,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-23,DN SOOPers vs Gen.G,28,27.5,27.5,0.41,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-23,Gen.G vs DN SOOPers,22,27.5,27.5,0.71,over,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-04-24,BNK FearX vs KT Rolster,36,28.5,28.5,-0.72,under,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-04-24,BNK FearX vs KT Rolster,38,29.5,29.5,1.08,over,medio,0.573,0.0314,over,edge draft valido,over,true,0.8
0,LCK,2026-04-24,Kiwoom DRX vs Hanwha Life Esports,32,29.5,29.5,-0.59,under,fraco,0.518,-0.0676,pass,delta draft baixo,over,,0
0,LCK,2026-04-24,Hanwha Life Esports vs Kiwoom DRX,23,29.5,29.5,0.45,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-25,HANJIN BRION vs T1,45,28.5,28.5,0.74,over,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-04-25,T1 vs HANJIN BRION,37,30.5,30.5,0.27,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-25,Dplus KIA vs DN SOOPers,21,29.5,29.5,0.11,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-25,Dplus KIA vs DN SOOPers,27,28.5,28.5,-0.74,under,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-04-26,BNK FearX vs T1,28,29.5,29.5,0.16,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-26,BNK FearX vs T1,52,29.5,29.5,-0.44,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-26,Nongshim RedForce vs Gen.G,32,30.5,30.5,-0.37,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-26,Nongshim RedForce vs Gen.G,22,31.5,31.5,-1.27,under,forte,0.648,0.1664,under,edge draft valido,under,true,0.8
0,LCK,2026-04-29,Nongshim RedForce vs T1,31,31.5,31.5,-0.16,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-04-29,T1 vs Nongshim RedForce,36,31.5,31.5,-0.41,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-04-29,KT Rolster vs Hanwha Life Esports,35,31.5,31.5,-0.65,under,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-04-29,Hanwha Life Esports vs KT Rolster,28,32.5,32.5,-1.2,under,medio,0.573,0.0314,under,edge draft valido,under,true,0.8
0,LCK,2026-04-30,Gen.G vs Kiwoom DRX,25,31.5,31.5,-0.9,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-04-30,Kiwoom DRX vs Gen.G,43,29.5,29.5,-1.1,under,medio,0.573,0.0314,under,edge draft valido,over,false,-1
0,LCK,2026-04-30,Kiwoom DRX vs Gen.G,24,31.5,31.5,-0.8,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-04-30,BNK FearX vs Dplus KIA,28,31.5,31.5,-0.72,under,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-04-30,BNK FearX vs Dplus KIA,22,30.5,30.5,-0.85,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-05-01,HANJIN BRION vs DN SOOPers,15,28.5,28.5,-1.02,under,medio,0.573,0.0314,under,edge draft valido,under,true,0.8
0,LCK,2026-05-01,HANJIN BRION vs DN SOOPers,31,27.5,27.5,1.21,over,medio,0.573,0.0314,over,edge draft valido,over,true,0.8
0,LCK,2026-05-01,Hanwha Life Esports vs T1,37,29.5,29.5,0.24,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-01,Hanwha Life Esports vs T1,26,31.5,31.5,-0.45,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-01,T1 vs Hanwha Life Esports,29,29.5,29.5,0.59,over,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
0,LCK,2026-05-02,Dplus KIA vs Gen.G,15,27.5,27.5,-0.32,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-02,Gen.G vs Dplus KIA,22,26.5,26.5,0.67,over,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-05-02,Dplus KIA vs Gen.G,19,26.5,26.5,0.12,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-02,Kiwoom DRX vs Nongshim RedForce,32,27.5,27.5,0.62,over,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-05-02,Kiwoom DRX vs Nongshim RedForce,43,27.5,27.5,-0.43,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-03,KT Rolster vs HANJIN BRION,39,28.5,28.5,-0.26,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-03,HANJIN BRION vs KT Rolster,25,29.5,29.5,-0.45,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-03,BNK FearX vs DN SOOPers,25,27.5,27.5,-0.72,under,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-05-03,BNK FearX vs DN SOOPers,32,27.5,27.5,-0.09,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-06,Nongshim RedForce vs Gen.G,47,28.5,28.5,-0.04,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-06,Gen.G vs Nongshim RedForce,34,30.5,30.5,-0.46,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-06,DN SOOPers vs Hanwha Life Esports,29,29.5,29.5,-1.32,under,forte,0.648,0.1664,under,edge draft valido,under,true,0.8
0,LCK,2026-05-06,Hanwha Life Esports vs DN SOOPers,38,29.5,29.5,-1.15,under,medio,0.573,0.0314,under,edge draft valido,over,false,-1
0,LCK,2026-05-07,KT Rolster vs Dplus KIA,13,29.5,29.5,-1.28,under,forte,0.648,0.1664,under,edge draft valido,under,true,0.8
0,LCK,2026-05-07,KT Rolster vs Dplus KIA,28,28.5,28.5,-0.68,under,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-05-07,BNK FearX vs HANJIN BRION,26,29.5,29.5,-0.29,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-07,HANJIN BRION vs BNK FearX,34,30.5,30.5,-0.53,under,fraco,0.518,-0.0676,pass,delta draft baixo,over,,0
0,LCK,2026-05-08,T1 vs DN SOOPers,25,30.5,30.5,0.24,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-08,T1 vs DN SOOPers,22,30.5,30.5,0.24,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-08,Gen.G vs Kiwoom DRX,34,29.5,29.5,-0.29,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-08,Gen.G vs Kiwoom DRX,26,29.5,29.5,-0.65,under,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCK,2026-05-09,KT Rolster vs BNK FearX,21,29.5,29.5,0.49,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-09,KT Rolster vs BNK FearX,28,27.5,27.5,-0.08,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,19,29.5,29.5,-0.36,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,31,28.5,28.5,0.9,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCK,2026-05-10,T1 vs Dplus KIA,23,26.5,26.5,0.09,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-10,T1 vs Dplus KIA,37,26.5,26.5,0.86,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,36,28.5,28.5,0.8,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,34,28.5,28.5,0.68,over,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-05-10,Hanwha Life Esports vs Kiwoom DRX,38,29.5,29.5,-0.12,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-13,T1 vs Nongshim RedForce,28,29.5,29.5,-0.6,under,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
0,LCK,2026-05-13,Nongshim RedForce vs T1,37,29.5,29.5,-0.44,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-13,Dplus KIA vs DN SOOPers,23,28.5,28.5,-0.58,under,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
