league,date,game,actual,preLine,postLine,draftDelta,draftSignal,deviation,absDeviation,isOverLine,draftConfidence,topPickEffects
LCK,2026-05-08,Gen.G vs Kiwoom DRX,34,29.5,28.5,-0.72,NEUTRO,4.5,4.5,true,0.856,SUP Karma -2.15 | TOP Sion +1.48 | JUNGLE Pantheon -1.34 | SUP Seraphine -1.04 | JUNGLE Jarvan IV -0.88
LCK,2026-05-08,Gen.G vs Kiwoom DRX,26,29.5,29.5,-0.01,NEUTRO,-3.5,3.5,false,0.777,JUNGLE Naafiri +1.54 | JUNGLE Xin Zhao -1.05 | MID Viktor -1.05 | ADC Lucian -0.83 | TOP Shen -0.5
LCK,2026-05-09,KT Rolster vs BNK FearX,21,29.5,28.5,-0.36,NEUTRO,-8.5,8.5,false,0.817,ADC Mel +1.41 | SUP Seraphine -0.98 | ADC Ashe -0.97 | JUNGLE Xin Zhao -0.95 | JUNGLE Jarvan IV -0.86
LCK,2026-05-09,KT Rolster vs BNK FearX,28,27.5,28.5,0.38,NEUTRO,0.5,0.5,true,0.816,JUNGLE Vi +2.11 | ADC Yunara +0.6 | SUP Bard -0.58 | ADC Caitlyn +0.37 | JUNGLE Wukong +0.31
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,19,29.5,29.5,0.01,NEUTRO,-10.5,10.5,false,0.848,TOP Rumble +2.16 | TOP Ambessa +0.89 | JUNGLE Xin Zhao -0.72 | JUNGLE Jarvan IV -0.64 | MID Annie +0.64
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,31,28.5,28.5,-0.05,NEUTRO,2.5,2.5,true,0.798,SUP Nautilus +1.46 | JUNGLE Pantheon -0.6 | ADC Ashe -0.48 | SUP Seraphine -0.47 | ADC Miss Fortune -0.31
LCK,2026-05-10,T1 vs Dplus KIA,23,26.5,26.5,0.24,NEUTRO,-3.5,3.5,false,0.811,TOP Rumble +1.79 | JUNGLE Trundle +0.91 | JUNGLE Xin Zhao -0.62 | MID Twisted Fate +0.61 | SUP Seraphine -0.54
LCK,2026-05-10,T1 vs Dplus KIA,37,25.5,26.5,1.05,OVER,11.5,11.5,true,0.824,JUNGLE Vi +2.44 | TOP Sion +2.16 | SUP Neeko +1.52 | MID Anivia +1.03 | TOP Ambessa +0.94
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,36,28.5,28.5,-0.03,NEUTRO,7.5,7.5,true,0.835,SUP Nautilus +1.2 | JUNGLE Xin Zhao -0.92 | MID Cassiopeia +0.87 | ADC Sivir +0.74 | SUP Bard -0.72
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,34,28.5,28.5,0.26,NEUTRO,5.5,5.5,true,0.799,JUNGLE Vi +1.99 | JUNGLE Lee Sin +1.91 | SUP Nami -1.22 | TOP Rumble +1.15 | SUP Seraphine -1.12
LCK,2026-05-10,Hanwha Life Esports vs Kiwoom DRX,38,29.5,29.5,0.11,NEUTRO,8.5,8.5,true,0.794,JUNGLE Nocturne +1.63 | ADC Varus +1.48 | JUNGLE Pantheon -1.37 | SUP Poppy +1.16 | MID Aurora -0.46
LCK,2026-05-13,T1 vs Nongshim RedForce,28,30.5,29.5,-1.06,UNDER,-2.5,2.5,false,0.867,JUNGLE Xin Zhao -1.69 | SUP Seraphine -1.53 | ADC Ashe -1.5 | TOP Sion +1.42 | JUNGLE Jarvan IV -1.37
LCK,2026-05-13,Nongshim RedForce vs T1,37,29.5,29.5,-0.36,NEUTRO,7.5,7.5,true,0.763,JUNGLE Pantheon -1.45 | SUP Nami -1.2 | ADC Lucian -1.04 | TOP Rumble +0.95 | MID Akali +0.92
LCK,2026-05-13,Dplus KIA vs DN SOOPers,23,28.5,27.5,-0.37,NEUTRO,-5.5,5.5,false,0.802,JUNGLE Xin Zhao -1.9 | JUNGLE Jarvan IV -1.59 | TOP Sion +1.13 | ADC Lucian -1.03 | ADC Caitlyn -0.9
LCK,2026-05-13,Dplus KIA vs DN SOOPers,13,27.5,26.5,-1.26,UNDER,-14.5,14.5,false,0.844,SUP Seraphine -1.45 | ADC Ashe -1.44 | JUNGLE Pantheon -1.31 | TOP Gnar -1.01 | MID Ryze -0.97
LCK,2026-05-14,BNK FearX vs Gen.G,23,28.5,29.5,0.48,NEUTRO,-5.5,5.5,false,0.838,JUNGLE Vi +2.22 | TOP Sion +1.7 | MID Akali +1.58 | ADC Ashe -1.08 | SUP Seraphine -1.08
LCK,2026-05-14,BNK FearX vs Gen.G,28,27.5,28.5,0.72,NEUTRO,0.5,0.5,true,0.858,JUNGLE Nocturne +2.32 | SUP Neeko +1.37 | ADC Yunara +0.9 | JUNGLE Wukong +0.68 | MID Annie +0.6
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,26,28.5,28.5,-0.04,NEUTRO,-2.5,2.5,false,0.872,SUP Karma -1.58 | ADC Sivir +1.08 | JUNGLE Xin Zhao -0.71 | JUNGLE Pantheon -0.69 | MID Annie +0.58
LCK,2026-05-14,KT Rolster vs Kiwoom DRX,33,28.5,28.5,0.16,NEUTRO,4.5,4.5,true,0.849,JUNGLE Vi +2.3 | MID Orianna -1.85 | ADC Yunara +0.97 | TOP Kennen -0.82 | ADC Corki +0.42
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,38,28.5,29.5,0.69,NEUTRO,9.5,9.5,true,0.762,MID Hwei +2.76 | JUNGLE Naafiri +1.52 | SUP Neeko +1.23 | JUNGLE Poppy -0.85 | SUP Lux +0.78
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,40,29.5,28.5,-0.59,NEUTRO,10.5,10.5,true,0.823,MID Orianna -2.16 | SUP Karma -2.05 | JUNGLE Lee Sin +1.96 | ADC Ashe -1.47 | SUP Seraphine -1.45
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,23,29.5,29.5,-0.16,NEUTRO,-6.5,6.5,false,0.839,JUNGLE Xin Zhao -1.75 | JUNGLE Nocturne +1.43 | SUP Lulu -0.82 | SUP Nami -0.75 | TOP Jayce -0.69
