league,date,game,actual,preLine,delta,confidence,signal,deviation
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,19,29.5,0.01,0.848,NEUTRO,-10.5
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,31,28.5,-0.05,0.798,NEUTRO,2.5
LCK,2026-05-10,T1 vs Dplus KIA,23,26.5,0.24,0.811,NEUTRO,-3.5
LCK,2026-05-10,T1 vs Dplus KIA,37,25.5,1.05,0.824,OVER,11.5
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,36,28.5,-0.03,0.835,NEUTRO,7.5
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,34,28.5,0.26,0.799,NEUTRO,5.5
LCK,2026-05-10,Hanwha Life Esports vs Kiwoom DRX,38,29.5,0.11,0.794,NEUTRO,8.5
LCK,2026-05-13,T1 vs Nongshim RedForce,28,30.5,-1.06,0.867,NEUTRO,-2.5
LCK,2026-05-13,Nongshim RedForce vs T1,37,29.5,-0.36,0.763,NEUTRO,7.5
LCK,2026-05-13,Dplus KIA vs DN SOOPers,23,28.5,-0.37,0.802,NEUTRO,-5.5
LCK,2026-05-13,Dplus KIA vs DN SOOPers,13,27.5,-1.26,0.844,NEUTRO,-14.5
LCK,2026-05-14,BNK FearX vs Gen.G,23,28.5,0.48,0.838,NEUTRO,-5.5
LCK,2026-05-14,BNK FearX vs Gen.G,28,27.5,0.72,0.858,OVER,0.5
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,26,28.5,-0.04,0.872,NEUTRO,-2.5
LCK,2026-05-14,KT Rolster vs Kiwoom DRX,33,28.5,0.16,0.849,NEUTRO,4.5
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,38,28.5,0.69,0.762,OVER,9.5
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,40,29.5,-0.59,0.823,NEUTRO,10.5
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,23,29.5,-0.16,0.839,NEUTRO,-6.5
LCK,2026-05-15,HANJIN BRION vs DN SOOPers,29,28.5,-0.58,0.859,NEUTRO,0.5
