league,date,game,actual,line,postPrediction,edge,overProbability,underProbability,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta,draftConfidence,draftSignal,draftSignalReason,topPickEffects
LCK,2026-04-10,DN SOOPers vs T1,35,28.5,28.63,0.13,0.5063,0.4937,-0.0887,-0.1113,,EV baixo,over,,0,-0.13,0.55,neutral,confiança baixa,ADC Ezreal -1.5 | MID Orianna -1.47 | JUNGLE Lee Sin +1.43 | SUP Bard -1.11 | MID Azir +0.58
LCK,2026-04-10,T1 vs DN SOOPers,19,29.5,28.99,-0.51,0.4756,0.5244,-0.144,-0.056,,EV baixo,under,,0,-0.21,0.537,neutral,confiança baixa,MID Aurora +1.82 | JUNGLE Xin Zhao -1.8 | JUNGLE Pantheon -1.22 | ADC Lucian -0.97 | SUP Lulu -0.74
LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,29,28.5,27.9,-0.6,0.4714,0.5286,-0.1515,-0.0485,,EV baixo,over,,0,-0.65,0.573,neutral,under bloqueado,JUNGLE Xin Zhao -1.99 | ADC Ashe -1.51 | JUNGLE Jarvan IV -1.25 | MID Ryze -1.19 | TOP Jayce -1.06
LCK,2026-04-10,Hanwha Life Esports vs BNK FearX,33,28.5,28.68,0.18,0.5085,0.4915,-0.0847,-0.1153,,EV baixo,over,,0,-0.27,0.524,neutral,confiança baixa,TOP Kennen -1.49 | ADC Ezreal -1.03 | ADC Jhin -0.8 | SUP Bard -0.65 | JUNGLE Ambessa -0.15
LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,33,29.5,28.95,-0.55,0.4739,0.5261,-0.147,-0.053,,EV baixo,over,,0,-0.05,0.296,neutral,confiança baixa,JUNGLE Vi +1.88 | ADC Lucian -1.69 | MID Mel -1.02 | SUP Milio -0.93 | MID Ahri +0.89
LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,35,31.5,30.71,-0.79,0.4625,0.5375,-0.1676,-0.0324,,EV baixo,over,,0,-0.5,0.65,neutral,under bloqueado,JUNGLE Vi +1.89 | JUNGLE Jarvan IV -1.36 | MID Ryze -1.29 | TOP Jayce -1.18 | MID Orianna -1.03
LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,21,31.5,32.09,0.59,0.528,0.472,-0.0496,-0.1504,,EV baixo,under,,0,0.19,0.587,neutral,delta fraco,SUP Nautilus +1.72 | JUNGLE Pantheon -1.59 | SUP Alistar +1.47 | MID Aurora +1.03 | TOP Ambessa +1
LCK,2026-04-11,Dplus KIA vs Gen.G,19,29.5,29.52,0.02,0.5009,0.4991,-0.0984,-0.1016,,EV baixo,under,,0,-0.38,0.655,neutral,under bloqueado,JUNGLE Pantheon -1.73 | JUNGLE Jarvan IV -1.02 | MID Ryze -0.93 | ADC Caitlyn +0.77 | ADC Ezreal -0.64
LCK,2026-04-11,Gen.G vs Dplus KIA,23,29.5,29.44,-0.06,0.497,0.503,-0.1054,-0.0946,,EV baixo,under,,0,0.27,0.561,neutral,delta fraco,JUNGLE Xin Zhao -1.73 | SUP Seraphine -1.48 | ADC Kalista +1.36 | SUP Renata Glasc +1.36 | JUNGLE Wukong +0.91
LCK,2026-04-12,BNK FearX vs DN SOOPers,32,29.5,29.83,0.33,0.5157,0.4843,-0.0718,-0.1282,,EV baixo,over,,0,0.11,0.606,neutral,delta fraco,JUNGLE Vi +2.37 | JUNGLE Jarvan IV -0.92 | MID Ryze -0.91 | ADC Ezreal -0.65 | SUP Neeko +0.61
