league,date,game,actual,prePrediction,preLine,postPrediction,postLine,delta,changedLine,lean,actualSideVsPreLine,correct,draftConfidence,lineAdjustment,signalThreshold,signalReason,topPickEffects
LCK,2026-05-08,Gen.G vs Kiwoom DRX,34,31.02,29.5,30.3,28.5,-0.72,true,neutral,over,,0.856,-1.35,99,under bloqueado,SUP Karma -2.15 | TOP Sion +1.48 | JUNGLE Pantheon -1.34 | SUP Seraphine -1.04 | JUNGLE Jarvan IV -0.88
LCK,2026-05-08,Gen.G vs Kiwoom DRX,26,30.82,29.5,30.81,29.5,-0.01,false,neutral,under,,0.777,-0.9,99,under bloqueado,JUNGLE Naafiri +1.54 | JUNGLE Xin Zhao -1.05 | MID Viktor -1.05 | ADC Lucian -0.83 | TOP Shen -0.5
LCK,2026-05-09,KT Rolster vs BNK FearX,21,29.6,29.5,29.24,28.5,-0.36,true,neutral,under,,0.817,-0.45,99,under bloqueado,ADC Mel +1.41 | SUP Seraphine -0.98 | ADC Ashe -0.97 | JUNGLE Xin Zhao -0.95 | JUNGLE Jarvan IV -0.86
LCK,2026-05-09,KT Rolster vs BNK FearX,28,28.73,27.5,29.12,28.5,0.38,true,neutral,over,,0.816,-0.9,0.5,delta fraco,JUNGLE Vi +2.11 | ADC Yunara +0.6 | SUP Bard -0.58 | ADC Caitlyn +0.37 | JUNGLE Wukong +0.31
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,19,30.15,29.5,30.16,29.5,0.01,false,neutral,under,,0.848,-0.23,0.5,delta fraco,TOP Rumble +2.16 | TOP Ambessa +0.89 | JUNGLE Xin Zhao -0.72 | JUNGLE Jarvan IV -0.64 | MID Annie +0.64
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,31,28.37,28.5,28.31,28.5,-0.05,false,neutral,over,,0.798,-0.23,99,under bloqueado,SUP Nautilus +1.46 | JUNGLE Pantheon -0.6 | ADC Ashe -0.48 | SUP Seraphine -0.47 | ADC Miss Fortune -0.31
LCK,2026-05-10,T1 vs Dplus KIA,23,25.72,26.5,25.96,26.5,0.24,false,neutral,under,,0.811,0.68,0.5,delta fraco,TOP Rumble +1.79 | JUNGLE Trundle +0.91 | JUNGLE Xin Zhao -0.62 | MID Twisted Fate +0.61 | SUP Seraphine -0.54
LCK,2026-05-10,T1 vs Dplus KIA,37,24.74,25.5,25.79,26.5,1.05,true,over,over,true,0.824,1.13,0.5,edge valido,JUNGLE Vi +2.44 | TOP Sion +2.16 | SUP Neeko +1.52 | MID Anivia +1.03 | TOP Ambessa +0.94
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,36,27.52,28.5,27.49,28.5,-0.03,false,neutral,over,,0.835,0.68,99,under bloqueado,SUP Nautilus +1.2 | JUNGLE Xin Zhao -0.92 | MID Cassiopeia +0.87 | ADC Sivir +0.74 | SUP Bard -0.72
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,34,27.87,28.5,28.12,28.5,0.26,false,neutral,over,,0.799,0.68,0.5,delta fraco,JUNGLE Vi +1.99 | JUNGLE Lee Sin +1.91 | SUP Nami -1.22 | TOP Rumble +1.15 | SUP Seraphine -1.12
LCK,2026-05-10,Hanwha Life Esports vs Kiwoom DRX,38,29.62,29.5,29.72,29.5,0.11,false,neutral,over,,0.794,0,0.5,delta fraco,JUNGLE Nocturne +1.63 | ADC Varus +1.48 | JUNGLE Pantheon -1.37 | SUP Poppy +1.16 | MID Aurora -0.46
LCK,2026-05-13,T1 vs Nongshim RedForce,28,30.31,30.5,29.24,29.5,-1.06,true,neutral,under,,0.867,-0.23,99,under bloqueado,JUNGLE Xin Zhao -1.69 | SUP Seraphine -1.53 | ADC Ashe -1.5 | TOP Sion +1.42 | JUNGLE Jarvan IV -1.37
LCK,2026-05-13,Nongshim RedForce vs T1,37,30.17,29.5,29.81,29.5,-0.36,false,neutral,over,,0.763,-0.23,99,under bloqueado,JUNGLE Pantheon -1.45 | SUP Nami -1.2 | ADC Lucian -1.04 | TOP Rumble +0.95 | MID Akali +0.92
LCK,2026-05-13,Dplus KIA vs DN SOOPers,23,28.2,28.5,27.83,27.5,-0.37,true,neutral,under,,0.802,0,99,under bloqueado,JUNGLE Xin Zhao -1.9 | JUNGLE Jarvan IV -1.59 | TOP Sion +1.13 | ADC Lucian -1.03 | ADC Caitlyn -0.9
LCK,2026-05-13,Dplus KIA vs DN SOOPers,13,27.79,27.5,26.53,26.5,-1.26,true,neutral,under,,0.844,0,99,under bloqueado,SUP Seraphine -1.45 | ADC Ashe -1.44 | JUNGLE Pantheon -1.31 | TOP Gnar -1.01 | MID Ryze -0.97
LCK,2026-05-14,BNK FearX vs Gen.G,23,28.33,28.5,28.8,29.5,0.48,true,neutral,under,,0.838,0.45,0.5,delta fraco,JUNGLE Vi +2.22 | TOP Sion +1.7 | MID Akali +1.58 | ADC Ashe -1.08 | SUP Seraphine -1.08
LCK,2026-05-14,BNK FearX vs Gen.G,28,27.08,27.5,27.8,28.5,0.72,true,over,over,true,0.858,0.45,0.5,edge valido,JUNGLE Nocturne +2.32 | SUP Neeko +1.37 | ADC Yunara +0.9 | JUNGLE Wukong +0.68 | MID Annie +0.6
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,26,28.07,28.5,28.03,28.5,-0.04,false,neutral,under,,0.872,0.23,99,under bloqueado,SUP Karma -1.58 | ADC Sivir +1.08 | JUNGLE Xin Zhao -0.71 | JUNGLE Pantheon -0.69 | MID Annie +0.58
LCK,2026-05-14,KT Rolster vs Kiwoom DRX,33,28.2,28.5,28.36,28.5,0.16,false,neutral,over,,0.849,0.23,0.5,delta fraco,JUNGLE Vi +2.3 | MID Orianna -1.85 | ADC Yunara +0.97 | TOP Kennen -0.82 | ADC Corki +0.42
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,38,28.89,28.5,29.58,29.5,0.69,true,over,over,true,0.762,0,0.5,edge valido,MID Hwei +2.76 | JUNGLE Naafiri +1.52 | SUP Neeko +1.23 | JUNGLE Poppy -0.85 | SUP Lux +0.78
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,40,29.6,29.5,29.01,28.5,-0.59,true,neutral,over,,0.823,-0.45,99,under bloqueado,MID Orianna -2.16 | SUP Karma -2.05 | JUNGLE Lee Sin +1.96 | ADC Ashe -1.47 | SUP Seraphine -1.45
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,23,31.12,29.5,30.95,29.5,-0.16,false,neutral,under,,0.839,-1.13,99,under bloqueado,JUNGLE Xin Zhao -1.75 | JUNGLE Nocturne +1.43 | SUP Lulu -0.82 | SUP Nami -0.75 | TOP Jayce -0.69
LCK,2026-05-15,HANJIN BRION vs DN SOOPers,29,29.79,28.5,29.21,28.5,-0.58,false,neutral,over,,0.859,-1.13,99,under bloqueado,JUNGLE Lee Sin +2.09 | SUP Karma -1.81 | TOP Sion +1.39 | ADC Ashe -1.37 | SUP Seraphine -1.37
LCK,2026-05-15,DN SOOPers vs HANJIN BRION,22,29.26,28.5,29.62,28.5,0.36,false,neutral,under,,0.836,-0.9,0.5,delta fraco,JUNGLE Vi +1.65 | JUNGLE Xin Zhao -1.52 | MID Akali +1.04 | SUP Neeko +0.86 | SUP Nami -0.79
LCK,2026-05-16,Gen.G vs T1,33,29.1,28.5,28.2,27.5,-0.91,true,neutral,over,,0.848,-0.68,99,under bloqueado,JUNGLE Xin Zhao -1.28 | JUNGLE Skarner -1.14 | SUP Seraphine -1.04 | ADC Ashe -1.04 | ADC Ezreal -0.44
LCK,2026-05-16,T1 vs Gen.G,48,29.44,28.5,29.96,29.5,0.52,true,over,over,true,0.803,-0.45,0.5,edge valido,JUNGLE Lee Sin +2.15 | SUP Karma -1.65 | TOP Sion +1.46 | SUP Lux +1.03 | MID Anivia +0.75
LCK,2026-05-16,T1 vs Gen.G,46,31.61,30.5,31.03,29.5,-0.58,true,neutral,over,,0.817,-1.13,99,under bloqueado,JUNGLE Pantheon -2.08 | MID Taliyah -1.44 | TOP Jayce -1.16 | ADC Corki -0.97 | JUNGLE Vi +0.85
LCK,2026-05-16,BNK FearX vs Nongshim RedForce,34,32.8,31.5,30.84,29.5,-1.96,true,neutral,over,,0.875,-1.57,99,under bloqueado,JUNGLE Pantheon -2.42 | JUNGLE Jarvan IV -2.32 | SUP Karma -2.32 | MID Ryze -2.21 | ADC Ezreal -1.98
LCK,2026-05-16,BNK FearX vs Nongshim RedForce,26,32.76,31.5,31.79,30.5,-0.97,true,neutral,under,,0.797,-1.35,99,under bloqueado,TOP Gnar -2.27 | SUP Lulu -1.96 | MID Galio -1.45 | SUP Milio -1.36 | ADC Yunara -1.21
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,38,32.58,31.5,31.71,30.5,-0.87,true,neutral,over,,0.833,-1.13,99,under bloqueado,JUNGLE Pantheon -2.14 | JUNGLE Jarvan IV -2.05 | SUP Karma -2.02 | ADC Miss Fortune -1.09 | TOP Zaahen -0.84
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,30,34.56,33.5,33.89,32.5,-0.68,true,neutral,under,,0.84,-1.35,99,under bloqueado,SUP Seraphine -2.65 | ADC Ashe -2.59 | MID Ryze -2.19 | TOP Jayce -1.52 | JUNGLE Lee Sin +1.46
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,25,34.79,32.5,33.47,31.5,-1.32,true,neutral,under,,0.764,-1.8,99,under bloqueado,ADC Lucian -1.96 | JUNGLE Skarner -1.78 | TOP Renekton -1.77 | SUP Nami -1.73 | MID Aurora -1.56
LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,38,33.81,32.5,32.76,30.5,-1.05,true,neutral,over,,0.863,-1.8,99,under bloqueado,JUNGLE Xin Zhao -2.6 | SUP Bard -2.05 | JUNGLE Lee Sin +1.69 | SUP Karma -1.68 | ADC Ezreal -1.61
LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,17,35.12,33.5,34.3,32.5,-0.83,true,neutral,under,,0.856,-1.8,99,under bloqueado,TOP Gnar -2.22 | MID Ryze -2.08 | ADC Lucian -2.07 | SUP Milio -1.54 | ADC Yunara -1.19
LCK,2026-05-17,Kiwoom DRX vs HANJIN BRION,35,32.71,31.5,32.2,31.5,-0.52,false,neutral,over,,0.82,-0.9,99,under bloqueado,SUP Elise +1.79 | JUNGLE Jarvan IV -1.43 | MID Viktor -1.09 | TOP Yorick -0.92 | TOP Jayce -0.77
LCK,2026-05-20,T1 vs Kiwoom DRX,29,34.14,33.5,33.61,32.5,-0.53,true,neutral,under,,0.84,-0.68,99,under bloqueado,ADC Lucian -2.04 | MID Ryze -1.84 | SUP Milio -1.56 | ADC Yunara -0.98 | JUNGLE Vi +0.64
