variant,league,date,game,mapBucket,mapAdjustment,actual,line,basePrediction,adjustedPrediction,edge,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta
baseline,LCK,2026-04-10,DN SOOPers vs T1,BO3 G1,0,35,29.5,29.11,29.11,-0.39,-0.1336,-0.0664,,EV baixo,over,,0,-0.41
baseline,LCK,2026-04-10,T1 vs DN SOOPers,BO3 G2,0,19,29.5,29.47,29.47,-0.03,-0.1023,-0.0977,,EV baixo,under,,0,-0.48
baseline,LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,BO3 G1,0,29,29.5,28.45,28.45,-1.05,-0.1903,-0.0097,,EV baixo,under,,0,-0.84
baseline,LCK,2026-04-10,Hanwha Life Esports vs BNK FearX,BO3 G2,0,33,29.5,28.71,28.71,-0.79,-0.1678,-0.0322,,EV baixo,over,,0,-0.39
baseline,LCK,2026-04-10,BNK FearX vs Hanwha Life Esports,BO3 G3,0,33,29.5,29.31,29.31,-0.19,-0.1159,-0.0841,,EV baixo,over,,0,-0.09
baseline,LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,BO3 G1,0,35,31.5,30.65,30.65,-0.85,-0.1732,-0.0268,,EV baixo,over,,0,-0.76
baseline,LCK,2026-04-11,Kiwoom DRX vs Nongshim RedForce,BO3 G2,0,21,32.5,32.03,32.03,-0.47,-0.1403,-0.0597,,EV baixo,under,,0,-0.01
baseline,LCK,2026-04-11,Dplus KIA vs Gen.G,BO3 G1,0,19,29.5,29.21,29.21,-0.29,-0.1247,-0.0753,,EV baixo,under,,0,-0.51
baseline,LCK,2026-04-11,Gen.G vs Dplus KIA,BO3 G2,0,23,28.5,29.25,29.25,0.75,-0.0356,-0.1644,,EV baixo,under,,0,0.27
baseline,LCK,2026-04-12,BNK FearX vs DN SOOPers,BO3 G1,0,32,29.5,29.67,29.67,0.17,-0.085,-0.115,,EV baixo,over,,0,0.18
baseline,LCK,2026-04-12,BNK FearX vs DN SOOPers,BO3 G2,0,23,30.5,30.25,30.25,-0.25,-0.1212,-0.0788,,EV baixo,under,,0,0.06
baseline,LCK,2026-04-12,KT Rolster vs HANJIN BRION,BO3 G1,0,17,30.5,29.31,29.31,-1.19,-0.2018,0.0018,,EV baixo,under,,0,-0.81
baseline,LCK,2026-04-12,KT Rolster vs HANJIN BRION,BO3 G2,0,22,27.5,28.09,28.09,0.59,-0.0497,-0.1503,,EV baixo,under,,0,0.74
baseline,LCK,2026-04-15,BNK FearX vs Nongshim RedForce,BO3 G1,0,32,27.5,27.96,27.96,0.46,-0.0603,-0.1397,,EV baixo,over,,0,0.09
baseline,LCK,2026-04-15,BNK FearX vs Nongshim RedForce,BO3 G2,0,38,27.5,27.94,27.94,0.44,-0.0619,-0.1381,,EV baixo,over,,0,0.42
baseline,LCK,2026-04-15,Dplus KIA vs KT Rolster,BO3 G1,0,19,26.5,26.86,26.86,0.36,-0.0693,-0.1307,,EV baixo,under,,0,0.07
baseline,LCK,2026-04-15,KT Rolster vs Dplus KIA,BO3 G2,0,48,25.5,25.4,25.4,-0.1,-0.1087,-0.0913,,EV baixo,over,,0,-0.27
baseline,LCK,2026-04-15,KT Rolster vs Dplus KIA,BO3 G3,0,30,28.5,28.09,28.09,-0.41,-0.1349,-0.0651,,EV baixo,over,,0,-0.08
baseline,LCK,2026-04-16,HANJIN BRION vs Gen.G,BO3 G1,0,25,27.5,27.31,27.31,-0.19,-0.116,-0.084,,EV baixo,under,,0,-0.18
baseline,LCK,2026-04-16,Gen.G vs HANJIN BRION,BO3 G2,0,31,26.5,26.61,26.61,0.11,-0.0905,-0.1095,,EV baixo,over,,0,-0.19
baseline,LCK,2026-04-16,DN SOOPers vs Hanwha Life Esports,BO3 G1,0,28,27.5,28.02,28.02,0.52,-0.0553,-0.1447,,EV baixo,over,,0,0.3
baseline,LCK,2026-04-16,Hanwha Life Esports vs DN SOOPers,BO3 G2,0,35,27.5,26.8,26.8,-0.7,-0.1602,-0.0398,,EV baixo,over,,0,-0.47
baseline,LCK,2026-04-17,BNK FearX vs Kiwoom DRX,BO3 G1,0,21,28.5,28.3,28.3,-0.2,-0.1175,-0.0825,,EV baixo,under,,0,-0.22
baseline,LCK,2026-04-17,BNK FearX vs Kiwoom DRX,BO3 G2,0,29,28.5,28.06,28.06,-0.44,-0.1381,-0.0619,,EV baixo,over,,0,-0.19
baseline,LCK,2026-04-17,T1 vs Dplus KIA,BO3 G1,0,19,28.5,28.05,28.05,-0.45,-0.1383,-0.0617,,EV baixo,under,,0,-0.48
baseline,LCK,2026-04-17,Dplus KIA vs T1,BO3 G2,0,19,27.5,27.66,27.66,0.16,-0.086,-0.114,,EV baixo,under,,0,0.43
baseline,LCK,2026-04-17,T1 vs Dplus KIA,BO3 G3,0,44,26.5,27.25,27.25,0.75,-0.036,-0.164,,EV baixo,over,,0,0.57
