league,date,patch,game,actualKills,preExpected,preSignedError,preAbsError,postExpected,postSignedError,postAbsError,postImproved,leagueCorrection,teamAAdjustment,teamBAdjustment,draftAdjustment,trainGames
LCK,2026-05-21,16.10,HANJIN BRION vs Dplus KIA,20,27.74,7.74,7.74,27.56,7.56,7.56,true,-0.69,-0.39,-1.04,-0.17,165
LCK,2026-05-22,16.10,DN SOOPers vs Kiwoom DRX,22,27.7,5.7,5.7,27.57,5.57,5.57,true,-1.01,-0.89,0.63,-0.13,166
LCK,2026-05-22,16.10,Kiwoom DRX vs DN SOOPers,28,27.09,-0.91,0.91,27.59,-0.41,0.41,true,-0.99,0.54,-0.84,0.5,167
LCK,2026-05-22,16.10,KT Rolster vs Gen.G,17,27.83,10.83,10.83,28.03,11.03,11.03,false,-1.65,0.27,0.87,0.2,168
LCK,2026-05-22,16.10,KT Rolster vs Gen.G,28,27.03,-0.97,0.97,27.47,-0.53,0.53,true,-1.28,0.2,0.75,0.44,169
LCK,2026-05-23,16.10,Dplus KIA vs BNK FearX,16,25.46,9.46,9.46,25.47,9.47,9.47,false,-1.74,-0.68,0.45,0.01,170
LCK,2026-05-23,16.10,BNK FearX vs Dplus KIA,37,23.96,-13.04,13.04,24.72,-12.28,12.28,true,-2.17,0.36,-0.66,0.76,171
LCK,2026-05-23,16.10,Dplus KIA vs BNK FearX,24,25.29,1.29,1.29,26,2,2,false,-1.91,-0.55,0.36,0.72,172
LCK,2026-05-23,16.10,Hanwha Life Esports vs Nongshim RedForce,43,26.92,-16.08,16.08,27.71,-15.29,15.29,true,-2.12,1.04,0.9,0.79,173
LCK,2026-05-23,16.10,Nongshim RedForce vs Hanwha Life Esports,54,29.25,-24.75,24.75,29.74,-24.26,24.26,true,-1.09,0.85,0.98,0.49,174
LCK,2026-05-23,16.10,Hanwha Life Esports vs Nongshim RedForce,36,32.6,-3.4,3.4,31.3,-4.7,4.7,false,0.05,0.96,0.85,-1.3,175
LCK,2026-05-24,16.10,Gen.G vs DN SOOPers,25,29.85,4.85,4.85,28.81,3.81,3.81,true,0.14,-0.12,-1.35,-1.05,176
LCK,2026-05-24,16.10,Gen.G vs DN SOOPers,20,28.23,8.23,8.23,27.57,7.57,7.57,true,-1.03,-0.13,-1.25,-0.65,177
LCK,2026-05-24,16.10,T1 vs HANJIN BRION,18,29.23,11.23,11.23,29.62,11.62,11.62,false,-0.85,0.91,-0.53,0.39,178
LCK,2026-05-24,16.10,T1 vs HANJIN BRION,29,27.08,-1.92,1.92,26.36,-2.64,2.64,false,-1.83,0.75,-0.52,-0.72,179
LPL,2026-05-23,16.10,LNG Esports vs Team WE,24,30.83,6.83,6.83,30.4,6.4,6.4,true,2.18,-0.33,-0.59,-0.43,285
LPL,2026-05-23,16.10,LNG Esports vs Team WE,17,29.98,12.98,12.98,30.53,13.53,13.53,false,1.78,-0.31,-0.55,0.55,286
LPL,2026-05-23,16.10,ThunderTalk Gaming vs Invictus Gaming,23,30.25,7.25,7.25,30.31,7.31,7.31,false,1.33,0.08,0.86,0.06,287
LPL,2026-05-23,16.10,ThunderTalk Gaming vs Invictus Gaming,33,29.83,-3.17,3.17,31.19,-1.81,1.81,true,1.51,0.05,0.73,1.36,288
LPL,2026-05-23,16.10,Invictus Gaming vs ThunderTalk Gaming,26,29.52,3.52,3.52,29.5,3.5,3.5,true,0.74,0.68,0.07,-0.02,289
LPL,2026-05-24,16.10,EDward Gaming vs Ninjas in Pyjamas,14,27.21,13.21,13.21,27.07,13.07,13.07,true,-0.07,-0.46,-0.11,-0.14,290
LPL,2026-05-24,16.10,EDward Gaming vs Ninjas in Pyjamas,37,25.64,-11.36,11.36,26.96,-10.04,10.04,true,-0.36,-0.47,-0.15,1.31,291
